ISO,NAME,data,rcp,regnum,ssp,stat,tslice,year,value
SUR,Suriname,CDD,rcp26,153,SSP1,PopWeightAv,future,2020,2509.5
SVK,Slovakia,CDD,rcp26,154,SSP1,mean,future,2020,103.5
SVK,Slovakia,CDD,rcp26,154,SSP1,PopWeightAv,future,2020,118.0
SVN,Slovenia,CDD,rcp26,155,SSP1,mean,future,2020,113.0
SVN,Slovenia,CDD,rcp26,155,SSP1,PopWeightAv,future,2020,150.0
SWE,Sweden,CDD,rcp26,156,SSP1,mean,future,2020,4.5
SWE,Sweden,CDD,rcp26,156,SSP1,PopWeightAv,future,2020,13.0
SWZ,Swaziland,CDD,rcp26,157,SSP1,mean,future,2020,797.0
SWZ,Swaziland,CDD,rcp26,157,SSP1,PopWeightAv,future,2020,728.0
SYR,Syrian Arab Republic,CDD,rcp26,158,SSP1,mean,future,2020,1205.0
SYR,Syrian Arab Republic,CDD,rcp26,158,SSP1,PopWeightAv,future,2020,1143.5
TCD,Chad,CDD,rcp26,159,SSP1,mean,future,2020,2901.0
TCD,Chad,CDD,rcp26,159,SSP1,PopWeightAv,future,2020,2950.0
TGO,Togo,CDD,rcp26,160,SSP1,mean,future,2020,2587.5
TGO,Togo,CDD,rcp26,160,SSP1,PopWeightAv,future,2020,2571.0
THA,Thailand,CDD,rcp26,161,SSP1,mean,future,2020,2466.0
THA,Thailand,CDD,rcp26,161,SSP1,PopWeightAv,future,2020,2755.5
TJK,Tajikistan,CDD,rcp26,162,SSP1,mean,future,2020,168.0
TJK,Tajikistan,CDD,rcp26,162,SSP1,PopWeightAv,future,2020,468.0
TKM,Turkmenistan,CDD,rcp26,163,SSP1,mean,future,2020,1102.0
TKM,Turkmenistan,CDD,rcp26,163,SSP1,PopWeightAv,future,2020,1110.0
TLS,East Timor,CDD,rcp26,164,SSP1,mean,future,2020,1787.5
TLS,East Timor,CDD,rcp26,164,SSP1,PopWeightAv,future,2020,1760.0
TON,Tonga,CDD,rcp26,165,SSP1,mean,future,2020,
TON,Tonga,CDD,rcp26,165,SSP1,PopWeightAv,future,2020,
TTO,Trinidad and Tobago,CDD,rcp26,166,SSP1,mean,future,2020,2219.0
TTO,Trinidad and Tobago,CDD,rcp26,166,SSP1,PopWeightAv,future,2020,2222.5
TUN,Tunisia,CDD,rcp26,167,SSP1,mean,future,2020,1307.5
TUN,Tunisia,CDD,rcp26,167,SSP1,PopWeightAv,future,2020,1009.5
TUR,Turkey,CDD,rcp26,168,SSP1,mean,future,2020,318.5
TUR,Turkey,CDD,rcp26,168,SSP1,PopWeightAv,future,2020,386.0
TWN,Taiwan,CDD,rcp26,169,SSP1,mean,future,2020,738.5
